X1,Y1,X2,Y2,Confidence,Class
424,347,573,479,0.96,person
423,336,573,480,0.99,person
423,319,574,480,0.99,person
432,229,614,480,0.99,person
433,227,613,479,1.0,person
433,236,613,479,1.0,person
433,240,613,480,1.0,person
433,229,614,479,1.0,person
433,238,614,479,1.0,person
432,237,613,480,1.0,person
417,232,596,479,0.97,person
399,235,571,480,0.99,person
390,234,562,480,0.98,person
386,231,555,480,0.98,person
383,231,550,480,0.98,person
383,228,549,480,0.98,person
382,230,549,480,0.98,person
383,232,549,480,0.98,person
382,228,549,480,0.98,person
383,230,549,480,0.98,person
383,232,549,480,0.98,person
383,228,549,480,0.98,person
383,230,549,480,0.98,person
383,232,549,480,0.98,person
382,229,549,480,0.99,person
382,230,549,480,0.99,person
382,231,549,480,0.98,person
382,230,549,480,0.98,person
382,230,549,480,0.98,person
382,231,549,480,0.98,person
382,230,549,480,0.98,person
382,230,549,480,0.98,person
382,231,550,480,0.98,person
382,230,550,480,0.98,person
382,230,549,480,0.98,person
381,231,549,480,0.98,person
383,231,549,480,0.98,person
382,230,550,480,0.98,person
382,230,550,480,0.98,person
382,230,550,480,0.98,person
383,231,549,480,0.98,person
382,230,549,480,0.98,person
382,231,550,480,0.98,person
382,230,549,480,0.98,person
383,230,549,480,0.98,person
382,231,549,480,0.98,person
382,230,549,480,0.98,person
383,231,549,480,0.98,person
382,230,550,480,0.98,person
383,231,549,480,0.98,person
383,230,550,480,0.98,person
382,230,549,480,0.98,person
382,231,549,480,0.98,person
383,231,549,480,0.98,person
382,230,550,480,0.98,person
383,231,549,480,0.98,person
383,230,550,480,0.98,person
383,230,550,480,0.98,person
382,230,549,480,0.98,person
383,230,550,480,0.98,person
382,230,549,480,0.98,person
382,231,550,480,0.98,person
383,231,550,480,0.98,person
383,230,549,480,0.98,person
383,230,549,480,0.98,person
382,230,549,480,0.98,person
382,230,549,480,0.98,person
382,230,550,480,0.98,person
382,230,550,480,0.98,person
383,230,549,480,0.98,person
382,230,549,480,0.98,person
382,230,549,480,0.98,person
383,231,549,480,0.98,person
382,231,549,480,0.98,person
382,231,549,480,0.98,person
382,230,549,480,0.98,person
382,230,549,480,0.98,person
383,230,549,480,0.98,person
383,230,549,480,0.98,person
383,230,550,480,0.98,person
383,230,549,480,0.98,person
382,230,549,480,0.98,person
382,230,550,480,0.98,person
382,230,550,480,0.99,person
383,231,549,480,0.98,person
382,230,550,480,0.98,person
382,230,549,480,0.98,person
382,230,549,480,0.98,person
383,230,549,480,0.98,person
382,230,549,480,0.98,person
383,231,550,480,0.98,person
382,230,549,480,0.98,person
383,230,549,480,0.98,person
382,230,549,480,0.98,person
382,230,549,480,0.98,person
383,230,549,480,0.98,person
382,230,550,480,0.98,person
382,230,550,480,0.98,person
383,230,549,480,0.98,person
381,231,550,480,0.98,person
382,230,549,480,0.98,person
382,230,549,480,0.98,person
382,230,549,480,0.98,person
383,230,549,480,0.98,person
382,230,549,480,0.98,person
382,230,549,480,0.98,person
383,230,549,480,0.98,person
383,230,549,480,0.98,person
384,230,547,480,0.96,person
382,229,549,480,0.96,person
383,229,549,480,0.98,person
359,229,547,478,0.96,person
358,229,536,474,0.95,person
334,222,508,459,0.98,person
302,221,495,453,0.95,person
270,222,481,449,0.97,person
244,223,463,446,0.98,person
219,224,446,443,0.99,person
201,224,432,441,0.99,person
211,225,443,444,0.99,person
228,226,473,455,0.98,person
260,229,511,469,0.94,person
282,235,544,476,0.93,person
313,239,571,476,0.99,person
339,242,596,478,0.99,person
344,242,604,478,0.98,person
341,242,597,479,0.98,person
328,241,574,476,0.99,person
300,239,541,477,0.97,person
285,233,508,478,0.95,person
264,229,478,473,0.98,person
258,226,459,468,0.97,person
255,224,454,463,0.98,person
259,225,464,469,0.98,person
264,230,507,476,0.9,person
277,238,545,477,0.98,person
302,244,586,477,0.99,person
312,247,619,476,0.99,person
326,249,623,475,0.99,person
339,249,623,475,0.98,person
350,249,621,480,0.98,person
350,249,624,480,0.98,person
350,249,626,480,0.99,person
350,249,621,480,0.99,person
350,249,623,480,0.99,person
351,249,617,480,0.99,person
351,249,622,480,0.99,person
351,250,605,480,1.0,person
351,249,612,480,1.0,person
351,249,599,480,1.0,person
354,248,592,477,0.96,person
367,249,585,479,0.97,person
376,249,583,479,0.97,person
358,249,588,479,0.97,person
351,250,598,480,0.99,person
351,249,599,480,1.0,person
351,249,600,480,1.0,person
351,249,593,480,1.0,person
351,249,604,480,1.0,person
351,249,596,480,1.0,person
351,249,612,480,0.99,person
361,249,601,478,0.97,person
372,249,591,478,0.97,person
383,249,602,479,0.96,person
390,249,601,477,0.95,person
395,248,624,476,0.96,person
398,249,612,477,0.96,person
396,249,626,476,0.97,person
393,249,611,475,0.97,person
366,249,624,476,0.97,person
350,249,626,480,0.99,person
350,250,623,480,0.99,person
350,250,623,480,0.99,person
350,249,621,480,0.99,person
351,249,621,480,0.99,person
350,249,612,480,0.99,person
350,249,622,480,0.99,person
350,249,616,480,0.99,person
351,249,612,480,0.99,person
351,249,596,480,1.0,person
351,249,601,480,0.99,person
351,249,607,480,0.99,person
351,250,599,480,0.99,person
351,249,620,480,0.99,person
351,249,611,480,0.99,person
351,249,609,480,0.99,person
351,249,610,480,0.99,person
351,249,604,480,0.99,person
351,249,612,480,0.99,person
351,249,610,480,0.99,person
351,249,621,480,0.99,person
350,249,618,480,0.99,person
351,249,606,480,0.99,person
350,249,620,480,0.99,person
351,249,621,480,0.99,person
350,249,621,480,0.99,person
350,249,624,480,0.99,person
350,249,626,480,0.99,person
350,249,625,480,0.99,person
350,249,625,480,0.99,person
350,249,624,480,0.99,person
350,249,622,480,0.99,person
350,249,624,480,0.99,person
351,249,622,480,0.99,person
350,249,619,480,0.99,person
351,249,609,476,0.98,person
342,249,619,476,0.99,person
285,243,570,476,0.99,person
292,238,529,476,0.95,person
281,232,502,479,0.95,person
273,229,487,476,1.0,person
271,227,483,477,1.0,person
271,227,483,477,1.0,person
271,227,483,477,1.0,person
271,227,483,477,1.0,person
271,227,483,477,1.0,person
271,227,483,477,1.0,person
271,227,483,477,1.0,person
271,227,483,477,1.0,person
271,226,483,477,1.0,person
271,227,483,477,1.0,person
271,226,483,477,1.0,person
271,226,483,476,1.0,person
271,227,483,476,1.0,person
297,227,483,476,0.97,person
262,316,548,480,0.91,person
269,307,550,479,0.88,person
261,284,551,480,0.83,person
261,307,547,480,0.85,person
